,Appliance Packs,,,,,,,,,,
,,,,,,,,,,,
Bosch,,,,,,,,,,,
,,,,,,,,,,,
,LOW,SERIES,PRICE,,MID,SERIES,PRICE,,HIGH,SERIES,PRICE
HOB 90cm Gas,PCR9A5I90,S6,569,,PPM9A6I40,S6,646,,,,
HOB 75cm Gas,PGQ7B5K90/PPQ7A6I40,S4,381/473,,PPQ7A6I40,S6,467,,PCQ7A5I90,S6,541
HOB 60 cm Gas,PGP6B5B90,S2,235,,PNP6B6K40,S4,324,,PPP6A6I40,S6,466
60 cm Induction,PIE631BB5E,S4,379,,PIX631HC1E,S6,674,,,,
80cm Induction,PIV831HB1E,S6,772,,PXV831HC1E,S6,929,,PXY83KHC1E,S6,1359
,,,,,,,,,,,
Single Oven - Eco,HQA534BB3B,S4,399,,HBG7341B1B,S8,718,,,,
Single Oven - Pyro,HQA574BB3B,S4,519,,HBG7741B1B,S8,798,,HBG7764B1B,S8,1069
,,,,,,,,,,,
Hood 60cm,DWB64BC50B,S2,262,,DWB66DM50B,S4,469,,DWK91LT60B,S8,1048
Hood 90cm ,DWB94BC50B,S2,287,,DWB96DM50B,S4,539,,DWK91LT60B,S8,1051
Hood Integrated 60cm,DEM66AC00B,S2,167,,,,,,DBB67AM60B,S6,519
Hood Integrated 90cm, ,,,,,,,,DBB97AM60B,S6,629
,,,,,,,,,,,
Microwave,BFL523MB0B,S4,359,,BFL7221B1B,S8,697,,CEG732XB1B,S8,873
Combi M/Oven,CMA583MB0B,S4,673,,CMG7241B1B,S8,1068,,CMG7361B1B,S8,1489
,,,,,,,,,,,
Fridge,KIR81NSE0G,S2,778,,KIR81VFE0G,S4,832,,KIR81ADD0G ,S6,979
Freezer,,,,,GIN81VEE0G,S4,879,,,,
,,,,,,,,,,,
Fridge / Freezer,KIN85NSE0G,S2,727,,KIN86VFE0G,S4,856,,,,
,,,,,,,,,,,
Dishwasher 81.5m,SMV4HVX00G,S4,426,,SMV6ZCX10G,S6,667,,SMD8YCX03G,S8,979
Dishwasher 87.5m,SBH4HVX00G,S4,433,,,,,,,,
,,,,,,,,,,,
Washing Machine,,,,,WIW28302GB,S6,724,,WIW28502GB,S8,781
Washer Dryer,WKD28352GB,S4,969,,WKD28543GB,S6 ,1169,,,,
